FSSAI_Chemical_Score,Quality_Score_0_100,Peroxidase_Activity,ENose_Sensor_S02,Formalin_Test,ENose_Sensor_S01,Formaldehyde_ppm,FFA_Linoleic_C18_2_pct,Adulteration_Index,Adulterated
100.0,95.4,1,0.2235,0,0.2797,0.0065,3.4665,0.0,0
100.0,94.29,1,0.2234,0,0.2399,0.027,2.3639,0.0,0
97.78,97.56,1,0.2936,0,0.2296,0.0308,1.691,0.0,0
97.37,95.29,1,0.2544,0,0.2467,0.0254,1.7313,0.037,0
97.52,94.89,1,0.2788,0,0.261,0.0259,2.696,0.0447,0
98.8,93.57,1,0.2786,0,0.2563,0.0081,1.707,0.0,0
100.0,87.11,1,0.2441,0,0.2013,0.0299,2.6577,0.0407,0
100.0,93.18,1,0.2126,0,0.2627,0.0488,3.0312,0.046,0
100.0,96.02,1,0.2023,0,0.2672,0.0488,1.6006,0.0128,0
100.0,89.82,1,0.2264,0,0.2352,0.0175,2.3274,0.0,0
97.15,88.79,1,0.23,0,0.2229,0.0364,1.857,0.0,0
100.0,89.76,1,0.2289,0,0.2325,0.0221,2.0634,0.0,0
100.0,91.93,1,0.2345,0,0.2545,0.0069,2.1587,0.004,0
98.48,90.15,1,0.203,0,0.2426,0.037,3.5782,0.0,0
100.0,79.86,1,0.2577,0,0.2521,0.0172,2.7251,0.021,0
22.81,70.63,1,0.2242,0,0.2496,0.038,2.305,0.7768,1
100.0,95.6,1,0.2711,0,0.2716,0.019,1.8828,0.0103,0
97.71,93.78,1,0.2184,0,0.2717,0.0088,2.8477,0.0,0
100.0,89.65,1,0.2187,0,0.2427,0.0427,2.6638,0.0444,0
100.0,88.61,1,0.2966,0,0.2161,0.0026,2.5697,0.0,0
97.64,99.23,1,0.2698,0,0.2648,0.0183,2.2651,0.0235,0
98.17,87.71,1,0.2388,0,0.2216,0.0336,3.425,0.0227,0
100.0,92.57,1,0.2009,0,0.2322,0.0443,3.0448,0.0262,0
97.62,91.3,1,0.2655,0,0.2465,0.0081,3.7859,0.0,0
100.0,94.73,1,0.2302,0,0.2049,0.0048,2.325,0.0,0
100.0,91.81,1,0.2211,0,0.2558,0.0151,2.8544,0.0,0
97.91,85.01,1,0.2816,0,0.2362,0.0128,1.8228,0.0078,0
29.32,61.66,1,0.2187,0,0.2853,0.0347,3.5619,0.703,1
100.0,97.53,1,0.2308,0,0.2095,0.0119,2.5877,0.0,0
100.0,94.36,1,0.2677,0,0.2459,0.0312,3.7503,0.0,0
97.96,88.51,1,0.2715,0,0.2376,0.0328,3.492,0.0507,0
98.96,91.82,1,0.2104,0,0.2867,0.0403,3.8289,0.0,0
98.52,93.42,1,0.2983,0,0.2891,0.0302,3.06,0.0189,0
99.07,92.77,1,0.2706,0,0.2325,0.046,3.0843,0.0,0
99.07,92.79,1,0.2146,0,0.2743,0.0346,1.7522,0.0386,0
100.0,93.77,1,0.238,0,0.2089,0.0121,1.5521,0.0256,0
98.54,97.96,1,0.2836,0,0.2899,0.047,2.0659,0.0212,0
97.62,95.47,1,0.2105,0,0.2429,0.0095,1.6493,0.0,0
98.64,95.1,1,0.2011,0,0.2256,0.0093,3.7771,0.0,0
99.46,93.33,1,0.2273,0,0.2389,0.0371,2.4129,0.0,0
100.0,98.62,1,0.2866,0,0.203,0.026,1.9413,0.0,0
99.14,91.8,1,0.2382,0,0.2269,0.008,2.5352,0.0437,0
98.22,85.91,1,0.2566,0,0.2647,0.0057,2.6454,0.0413,0
100.0,92.97,1,0.2005,0,0.2843,0.0085,2.098,0.0504,0
100.0,90.54,1,0.2066,0,0.2848,0.0463,3.4796,0.0,0
99.92,91.08,1,0.2686,0,0.2234,0.0293,1.7728,0.0045,0
100.0,91.31,1,0.2185,0,0.2591,0.0365,3.5554,0.0,0
100.0,89.16,1,0.2476,0,0.2214,0.0064,3.7754,0.0,0
97.53,91.09,1,0.2612,0,0.2951,0.019,1.8619,0.0401,0
100.0,90.21,1,0.2912,0,0.2151,0.0278,1.5155,0.0011,0
100.0,94.38,1,0.2348,0,0.2171,0.0255,3.0224,0.0,0
100.0,89.29,1,0.2011,0,0.2631,0.0186,2.8499,0.0,0
99.98,91.72,1,0.2759,0,0.2641,0.0048,2.586,0.0,0
99.13,91.09,1,0.2057,0,0.206,0.0341,2.4646,0.0186,0
100.0,95.23,1,0.2104,0,0.2845,0.0299,2.5865,0.008,0
97.66,90.39,1,0.2087,0,0.2429,0.021,2.0099,0.0515,0
98.25,93.75,1,0.2971,0,0.2236,0.0464,2.5148,0.052,0
97.64,90.08,1,0.2325,0,0.2488,0.0378,3.7801,0.0236,0
99.83,93.5,1,0.2391,0,0.2181,0.0182,2.1499,0.0433,0
98.83,95.07,1,0.215,0,0.2508,0.0026,3.6029,0.0456,0
98.23,92.65,1,0.2818,0,0.2496,0.04,1.8602,0.0342,0
97.14,86.88,1,0.2404,0,0.299,0.022,2.8111,0.0275,0
100.0,90.9,1,0.289,0,0.2509,0.0236,3.4493,0.0108,0
50.94,49.58,1,0.2661,0,0.2438,0.0294,2.0284,0.596,1
99.36,87.55,1,0.2102,0,0.2904,0.033,2.7537,0.0171,0
77.21,59.11,1,0.2749,0,0.2559,0.0304,3.3499,0.6324,1
99.63,92.65,1,0.2315,0,0.2194,0.0141,1.9419,0.0,0
57.82,54.44,1,0.2254,0,0.2624,0.0089,3.1211,0.6601,1
97.48,94.74,1,0.2203,0,0.2754,0.0014,2.8357,0.0,0
50.91,50.67,1,0.7586,0,0.7304,0.0007,2.1332,0.7102,1
99.21,90.72,1,0.2625,0,0.2695,0.0444,2.0128,0.0048,0
100.0,94.62,1,0.211,0,0.2761,0.0497,3.991,0.0507,0
97.32,91.17,1,0.2258,0,0.2253,0.0179,2.683,0.0023,0
100.0,88.9,1,0.257,0,0.2077,0.0107,3.4341,0.0047,0
67.1,53.15,1,0.2199,0,0.2087,0.02,3.219,0.608,1
98.61,93.38,1,0.2184,0,0.2114,0.0052,2.8801,0.0262,0
99.66,97.65,1,0.2544,0,0.2918,0.0315,3.9292,0.0205,0
99.14,93.84,1,0.2991,0,0.2765,0.0113,1.8428,0.0264,0
98.9,90.13,1,0.2551,0,0.2918,0.0159,3.8408,0.0336,0
100.0,91.92,1,0.2349,0,0.2949,0.0428,2.9338,0.0241,0
100.0,92.94,1,0.2,0,0.2633,0.0285,3.9738,0.0,0
99.19,90.88,1,0.2163,0,0.2404,0.0067,2.3956,0.0,0
100.0,93.43,1,0.2366,0,0.2246,0.0048,1.7911,0.0483,0
98.37,90.37,1,0.2761,0,0.2211,0.0327,2.0522,0.0,0
100.0,95.69,1,0.2563,0,0.2897,0.0081,2.4391,0.008,0
98.45,96.55,1,0.2719,0,0.2806,0.0098,3.428,0.0,0
97.41,87.25,1,0.2719,0,0.206,0.0301,2.0771,0.0,0
98.8,95.48,1,0.2581,0,0.2174,0.0455,3.8495,0.0099,0
99.39,94.51,1,0.208,0,0.2469,0.0271,2.4422,0.0,0
99.03,89.38,1,0.2724,0,0.2617,0.0234,2.9785,0.0266,0
100.0,94.01,1,0.2732,0,0.2378,0.0429,1.6874,0.0503,0
100.0,91.54,1,0.2412,0,0.2711,0.0147,2.8365,0.0,0
100.0,91.01,1,0.2843,0,0.232,0.0017,3.4201,0.0449,0
99.72,91.11,1,0.2888,0,0.2608,0.0279,3.1213,0.0,0
97.64,92.16,1,0.2733,0,0.2818,0.0066,3.1624,0.0395,0
100.0,98.55,1,0.2158,0,0.232,0.003,2.9703,0.0184,0
100.0,94.03,1,0.2776,0,0.2004,0.0049,3.9887,0.0169,0
25.68,55.49,1,0.2898,0,0.2372,0.0055,2.499,0.7032,1
100.0,94.09,1,0.2872,0,0.2175,0.0328,2.7199,0.0,0
98.35,92.47,1,0.2917,0,0.2664,0.0291,2.6557,0.0,0
100.0,90.85,1,0.2886,0,0.2064,0.016,2.1403,0.0012,0
71.14,61.51,1,0.2688,0,0.2571,0.0122,2.455,0.581,1
100.0,92.17,1,0.2745,0,0.2624,0.0,2.8291,0.0,0
97.3,97.81,1,0.2074,0,0.2445,0.0079,3.106,0.0,0
99.71,90.18,1,0.2029,0,0.287,0.0288,2.3965,0.0004,0
100.0,93.14,1,0.29,0,0.2225,0.0278,2.5749,0.0,0
99.9,94.82,1,0.2007,0,0.2732,0.0368,2.8866,0.0033,0
99.78,97.34,1,0.2506,0,0.234,0.0016,3.8763,0.0168,0
99.22,94.48,1,0.2751,0,0.2063,0.0398,2.9499,0.0238,0
97.98,91.14,1,0.2535,0,0.2014,0.0291,2.6586,0.0319,0
100.0,96.86,1,0.286,0,0.2838,0.0136,2.4922,0.0,0
100.0,89.93,1,0.2922,0,0.2844,0.0218,3.9995,0.0001,0
98.93,97.3,1,0.2308,0,0.2741,0.04,3.9889,0.0,0
100.0,92.24,1,0.2556,0,0.262,0.0243,3.7628,0.0091,0
99.87,90.82,1,0.203,0,0.2741,0.0354,1.7689,0.0,0
98.73,93.15,1,0.2404,0,0.273,0.0204,2.2544,0.0,0
100.0,97.66,1,0.2767,0,0.2519,0.0273,2.9533,0.0,0
99.75,92.18,1,0.2198,0,0.2448,0.0416,3.3277,0.0,0
